headline,date,doc_type,material_type,section,abstract,first_paragraph,keywords,web_url
What’s Different About a November Masters?,2020-11-11,article,News,,A lot. No sporting event does springtime iconography like the Masters. But many of its traditions have been altered as men's golf’s first major moved to fall.,"The Masters does set-your-watch-to-it formality better than any sporting event. From the prominent green jacket ceremony to the mundane paint on sewer covers, every detail of the tournament is coordinated and beholden to a familiar presentation. This is how the youngest of the men’s golf major championships achieved such rapid brand strength and popularity.","['Golf', 'Masters Golf Tournament', 'Television', 'Coronavirus (2019-nCoV)']",https://www.nytimes.com/2020/11/11/sports/golf/masters-rules-covid.html
The 2020 Masters: DeChambeau’s Challengers Aren’t Exactly Long Shots,2020-11-12,article,News,,The world No. 5 golfer Rory McIlroy and the second-ranked Jon Rahm could stand in the way of the long-driving Bryson DeChambeau’s quest for a green jacket.,"The Masters, as its name might convey, has the smallest field in men’s major championship golf by a considerable margin. The United States Open, British Open, and P.G.A. Championship all have 156-player fields, while Augusta National almost never extends invitations to more than 100 players — and prefers to stay comfortably below that mark.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2020/11/12/sports/golf/masters-field-tee-times.html
"Augusta’s Green Jackets: For Winners, Members (and Buyers) Only",2020-11-12,article,News,,"The club’s green jackets — awarded to its members and Masters winners — are not supposed to leave its grounds. A rare few have, becoming an expensive holy grail for memorabilia collectors.","AUGUSTA, Ga. — Christopher O’Brien is not a member of Augusta National Golf Club, much less a Masters champion. He once played the course “well enough to enjoy it, not well enough to brag about it.”","['Golf', 'Masters Golf Tournament', 'Coats and Jackets', 'Memorabilia and Souvenirs']",https://www.nytimes.com/2020/11/12/sports/golf/green-jacket-masters.html
Tiger Woods Starts Strong at the Masters as Paul Casey Leads an Incomplete Round,2020-11-13,article,News,,"Casey shot seven under par on Thursday, and Woods was four under, after rain delayed the start of tournament and left many golfers with unfinished rounds.","AUGUSTA, Ga. — At ease as he played his 87th round at the Masters, Tiger Woods stalked the Augusta National Golf Club on Thursday with the aplomb of someone sauntering through his living room in search of his favorite recliner, foot stool and coaster, for the cool drink in his hand. Shot by shot, the path was so familiar he could have negotiated it in the dark.","['Golf', 'Masters Golf Tournament', 'Coronavirus (2019-nCoV)']",https://www.nytimes.com/2020/11/12/sports/golf/masters-leaderboard-day-1.html
What to Expect on Day 2 of the 2020 Masters,2020-11-13,article,News,,"Thursday’s rain delay means many players will have to scramble to finish the second round of the tournament, which Paul Casey leads at seven under par.","Thursday’s morning rainstorm at Augusta National sufficiently muddled plans at the 2020 Masters. But after a nearly three-hour delay that thwarted Bryson DeChambeau’s strategy for domination — he rebounded from a double-bogey on the par-5 13th hole to shoot a two-under-par 70 — play resumed with 27 of the 48 players who had finished their rounds breaking par for the day. Among them was the reigning champion, Tiger Woods, who logged a four-under 68 on Day 1 to finish three strokes behind the leader, the Englishman Paul Casey.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2020/11/13/sports/golf/masters-leaderboard-day-2.html
"For Aging Masters Champions, Pandemic Cannot Mute Augusta’s Call",2020-11-13,article,News,,"Despite the coronavirus crisis, many of the older men who won the Masters reunited at the tournament that helped make them famous. Some are even playing.","AUGUSTA, Ga. — The men met for dinner at Augusta National Golf Club on Tuesday night. They donned their green jackets, asked after grandchildren, cracked wise, drank wine and thought back to the long-ago shots that were their meal tickets now.","['Golf', 'Masters Golf Tournament', 'Coronavirus (2019-nCoV)']",https://www.nytimes.com/2020/11/13/sports/golf/masters-champions-dinner.html
Bryson DeChambeau’s Ball Search Pushes Him Out of Masters Hunt,2020-11-14,article,News,,"After predictions that he would dominate Augusta National, DeChambeau had a meltdown on the third hole Friday that put him below the projected cut line with six holes of his second round left to finish on Saturday morning.","AUGUSTA, Ga. — It was almost a given that Bryson DeChambeau would do something memorable at this year’s Masters tournament. It did not figure to be a booming tee shot so high in the Georgia sky that it landed clear out of sight.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2020/11/13/sports/golf/bryson-dechambeau-masters-leaderboard-day-2.html
A Lack of Fans at the Masters Strains Those Who Would Sell the Experience,2020-11-14,article,News,,"Passes to the Masters are some of the most expensive tickets in sports. But with fans barred from Augusta National Golf Club and other venues this year, many resellers are under pressure.","AUGUSTA, Ga. — For about two decades, James DiZoglio has run a bazaar to sell some of the most cherished tickets in sports. His scalping locale has always been the same: near the TBonz Steakhouse and the Augusta Best Inn down the street from the site of the Masters.","['Golf', 'Masters Golf Tournament', 'Ticket Scalping']",https://www.nytimes.com/2020/11/14/sports/golf/masters-tickets.html
"Rory McIlroy Aims for Balance, and a Green Jacket",2020-11-14,article,News,,"McIlroy, still seeking a Masters win for a career Grand Slam, struggled in the first round at Augusta National but rebounded in the second.","Rory McIlroy watched the flight of his ball in dismay on Friday morning. “That’s so bad,” he said. “Oh my God.”","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2020/11/14/sports/golf/rory-mcilroy-masters.html
Masters Mentorship Puts Tournament Rookies on Top,2020-11-15,article,News,,"On Saturday, 14 first-timers made the rain-delayed cut, a Masters record. Many of them benefited from pretournament sessions with seasoned Masters veterans.","AUGUSTA, Ga. — By the time he reached Augusta National Golf Club’s 17th tee during Monday’s practice round, Cameron Champ had talked with his stand-in coach and tour guide about his upcoming wedding and how to navigate the course’s greens.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2020/11/14/sports/golf/masters-sungjae-im-rookies.html
Dustin Johnson Widens Masters Lead and Eyes Scoring Record,2020-11-15,article,News,,"The No. 1-ranked golfer played in one lead-up event before the Masters after a positive coronavirus test felled him in October. Despite the rust, he leads the field by four strokes after three rounds.","AUGUSTA, Ga. — Perhaps it is fitting that the player leading the biggest golf tournament of 2020 prepared for the event last month by self-isolating in a hotel room for 11 days after a positive coronavirus test result.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2020/11/14/sports/golf/masters-results-dustin-johnson.html
The 2020 Masters: Dustin Johnson Sets Scoring Record,2020-11-15,article,News,,"Dustin Johnson won the Masters at 20 under, five strokes ahead of Australia’s Cameron Smith and Sungjae Im of South Korea.","Dustin Johnson won the 2020 Masters and set a scoring record at 20 under par, two strokes better than the former record, held jointly by Tiger Woods and Jordan Spieth. Johnson, who grew up an hour away, in South Carolina, became the first world No. 1 to win the event since Woods in 2001.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2020/11/15/sports/golf/masters-leaderboard-day-4.html
Dustin Johnson Wins 2020 Masters in Record Fashion,2020-11-15,article,News,,"Johnson, the No. 1-ranked golfer in the world, won with a score of 20 under par, the first player to reach that total at Augusta National.","AUGUSTA, Ga. — For 10 years, Dustin Johnson’s chase for career-defining, major championship titles was tinged with ruthless angst, misfortune and calamitous setbacks.","['Golf', 'Masters Golf Tournament', 'Records and Achievements']",https://www.nytimes.com/2020/11/15/sports/golf/dustin-johnson-masters-win.html
Tiger Woods Faced Disaster at the Masters. He Stuck Through It Anyway.,2020-11-15,article,News,,"After a horrific appearance at No. 12, the five-time Masters winner did not fade — even with no hope of another green jacket and almost no one around to watch.","AUGUSTA, Ga. — Tiger Woods had just birdied three holes on Sunday at the Masters when he stood at the tee box at No. 18. A few of the men sitting around the 17th green did not bother to watch.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2020/11/15/sports/golf/masters-tiger-woods-finish.html
Will Augusta National’s New Event for Women Upstage L.P.G.A. Stars?,2019-04-03,article,News,,"Augusta National officials have trumpeted their amateur invitational as a grand stage for women’s golf, even though it conflicts with the first major of the year.","RANCHO MIRAGE, Calif. — Albane Valenzuela could have been teeing it up Wednesday in the inaugural Augusta National Women’s Amateur, where the contestants who survive the cut will play the final 18 holes on the fabled course where men will compete at the Masters next week.","['Masters Golf Tournament', 'Golf', 'Women and Girls']",https://www.nytimes.com/2019/04/03/sports/augusta-national-women.html
The Snake Lady and the Masters: Augusta Imagines Life Post-Strip Clubs,2019-04-08,article,News,,"It is hard to imagine Augusta without Whitey Lester, a downtown fixture for decades and the city’s last strip-club impresario.","AUGUSTA, Ga. — “Folks,” the radio host wrote on his Facebook page, “reports of Whitey Lester’s death were apparently incorrect.”","['Golf', 'Masters Golf Tournament', 'Strip Clubs and Strippers']",https://www.nytimes.com/2019/04/08/us/masters-augusta-strip-clubs.html
"Tiger Woods Hunts for Another Masters, a Decade After Crash",2019-04-10,article,News,,"Tiger Woods’s life came apart 10 years ago. Then came surgeries on his back, battles with painkillers. Another green jacket would be nice.","AUGUSTA, Ga. — The 10th anniversary of the Thanksgiving night car crash that changed the course of golf history is months away. But as a smiling Tiger Woods exited the Augusta National Golf Club clubhouse on Tuesday to cheers and applause, it was not too soon to consider his renaissance since the fall from grace that began when his then wife chased her philandering husband from their home and he drove his S.U.V. into a neighbor’s tree.",['Masters Golf Tournament'],https://www.nytimes.com/2019/04/10/sports/tiger-woods-masters.html
Sergio García’s Hunt for the Perfect Caddie,2019-04-11,article,News,,"He considered his wife and a former tennis star before settling on his brother. “He’s excited about caddying here, but it is not the holidays.”","AUGUSTA, Ga. — The first time that Sergio García’s older brother, Victor, caddied for him at the Masters, García handed him his putter on the ninth hole of the Wednesday par-3 contest and watched him drain a 25-foot birdie attempt. More than a decade later, Victor is again inside the ropes at Augusta National with his brother, but this time he will be shepherding García through the 72-hole tournament, which began Thursday.",['Masters Golf Tournament'],https://www.nytimes.com/2019/04/11/sports/sergio-caddie.html
Brooks Koepka and Bryson DeChambeau Share the Masters Lead,2019-04-11,article,News,,"Tiger Woods led for part of the opening round. He shot a two-under-par 70, the same first-round score he had when he won in 1997, 2001 and 2002.","AUGUSTA, Ga. — The methodical, ever calculating Bryson DeChambeau, who last week put himself through a 14-hour practice session to decipher the effect of what he called the “spin loft curve” of his wedges, was asked late Thursday to assess the final nine holes of his first round at the 2019 Masters.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2019/04/11/sports/tiger-woods-masters.html
"Tony Finau, on Another Masters Adventure, Carries Memories of an Idol",2019-04-11,article,News,,"Finau kept a ball signed by Billy Casper, the 1970 champion, in his bag during the opening round. Casper had offered encouragement to Finau when he was taking up golf.",Tony Finau put a lucky 13th ball in his bag for his opening round of one-under-par 71 on Thursday at the Masters.,"['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2019/04/11/sports/masters-tony-finau-billy-casper.html
A Masters Plastic Cup Is Almost as Treasured as a Green Jacket,2019-04-12,article,News,,"People do strange things at Augusta National, including sifting through garbage cans in search of soft drink cups adorned with a certain logo.","AUGUSTA, Ga. — The most coveted souvenir at the Masters is found in the garbage.","['Masters Golf Tournament', 'Golf', 'Collectors and Collections']",https://www.nytimes.com/2019/04/12/sports/masters-cups.html
"A Pack of Champs Lead the Masters, and Tiger Woods Refuses to Be Tripped Up",2019-04-12,article,News,,"Five major winners, including Francesco Molinari and Brooks Koepka, are tied at seven under par after the second round. Woods, despite a mishap on the course, is a stroke behind.","AUGUSTA, Ga. — As Tiger Woods was making his stirring late charge up a bunched Masters leaderboard Friday, he was chasing a formidable cast of rivals that included six major golf championship winners.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2019/04/12/sports/masters-second-round-results.html
"At the Masters, Jason Day Again Finds Pain and Perseverance",2019-04-13,article,News,,"The Australian has been ridiculed for always being hobbled by some pain or ailment. This time, his back issues helped him sharpen his focus on the way to a share of the lead.","AUGUSTA, Ga. — The Masters is the major that Jason Day has dreamed of winning since he turned to golf as a teenager to escape an almost certain future working in a meatpacking plant in his native Australia. Day had to be plenty tough to overcome his impoverished beginnings, so it is strange that he has become known on the PGA Tour for his fragility.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2019/04/12/sports/masters-jason-day.html
Eye-Opening Augusta,2019-04-13,article,News,,"Once a year, Augusta National Golf Club opens its exclusive gates to the world for the Masters. The world is treated to a jewel of history and nature.","AUGUSTA, Ga. — Augusta National Golf Club holds a unique place in the American psyche.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2019/04/13/sports/golf/masters-augusta-photographs.html
"Tiger Woods, in Range of Masters Win, Displays His Dominance for New Generation",2019-04-14,article,News,,Woods is tied for second going into the final round at Augusta National. A win would be something no one thought possible by him as recently as two years ago.,"AUGUSTA, Ga. — Twenty-two years after Tiger Woods raised the curtain on golf’s version of the Broadway sensation “Cats,” he has set the stage for a spellbinding encore.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2019/04/13/sports/tiger-woods-masters-augusta.html
How Do You Know Tiger Woods Is Coming? Listen for the Roar,2019-04-14,article,News,,"Ropes and security kept the crowds at the Masters in place, but nothing could contain the sound of their cheers when Woods was around. Imagine if he wins.","The cheering was already raucous as Tiger Woods walked up the 18th fairway on Saturday, but when he smiled and tipped his cap, the volume doubled. The clamor diminished ever so slightly, and then Woods raised his putter in salute, and the roar reached new heights. A few strides later, Woods was on the green, and he offered a wave of his right hand and another grin. This time, the crowd erupted with its most thunderous ovation.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2019/04/13/sports/tiger-woods-cheers-masters.html
"Tiger Woods, in a Stirring Return to the Top, Captures the Masters at 43",2019-04-14,article,News,,"After four back operations and nearly a decade of struggles on and off the golf course, Woods is back at the pinnacle.","AUGUSTA, Ga. — Tiger Woods completed a comeback from personal and professional adversity on Sunday, capturing his fifth Masters title and his 15th major tournament with a victory that snapped a decade-long championship drought and instantly returned him to the top of the sports world.","['Masters Golf Tournament', 'Golf']",https://www.nytimes.com/2019/04/14/sports/tiger-woods-wins-masters.html
"Tiger Woods Showed He Was Back Not With a Shot, but With a Stare",2019-04-14,article,News,,"As he stood on the 12th green, glaring at Francesco Molinari and Tony Finau, Woods found the killer instinct he — and golf as a whole — had been missing.","AUGUSTA, Ga. — If Tiger Woods’s victory at the 2019 Masters is among the greatest comebacks in sports history — and it is at least a leading candidate — its origin will forever be traced to what happened on the 12th hole on Sunday when the old Tiger Woods suddenly reappeared at a major championship for the first time in 11 years.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2019/04/14/sports/tiger-woods-masters-stare.html
Tiger Woods’s Masters Win Joins the Ranks of Great Sports Comebacks,2019-04-15,article,News,,"When athletes begin to fade, it’s usually all over. But a select few, including Michael Jordan and Monica Seles, have returned in triumph.","Tiger Woods hadn’t won a major in 11 years. He had struggled through injury and personal crises. He was dismissed as finished, his years of dominance fading into memory.","['Sports Injuries', 'Tennis', 'Football', 'Baseball', 'Boxing', 'Golf', 'Tour de France (Bicycle Race)', 'Horse Racing', 'Masters Golf Tournament']",https://www.nytimes.com/2019/04/15/sports/tiger-woods-masters-comebacks.html
Tiger Woods Shook Up Golf at the Masters. It Might Be Just the Beginning.,2019-04-15,article,News,,"A favorable schedule could put Woods in position for a serious run at winning all four majors this year, a feat never accomplished in the modern era.","AUGUSTA, Ga. — Jack Nicklaus was fishing in the Bahamas on Sunday as Tiger Woods resumed circling him in the quest for Nicklaus’s record of 18 major golf championships. But in his news conference after winning the Masters for his 15th major title, Woods didn’t sound exactly bloodthirsty.","['United States Open (Golf)', 'PGA Championship', 'Masters Golf Tournament']",https://www.nytimes.com/2019/04/15/sports/tiger-woods-next-tournaments.html
Trump Says He Will Give Tiger Woods the Presidential Medal of Freedom,2019-04-15,article,News,,"The president has lavished praise on Woods, a golf and business partner, for winning the Masters on Sunday in a dramatic comeback.","A day after Tiger Woods won his fifth Masters title and 15th major tournament in a rousing resurrection of his career, President Trump said Monday he would give him an honor almost as exclusive as a green jacket from Augusta National Golf Club: the Presidential Medal of Freedom.","['Masters Golf Tournament', 'Golf', 'Presidential Medal of Freedom']",https://www.nytimes.com/2019/04/15/sports/golf/tiger-woods-medal-of-freedom.html
Golf Looks to a Tiger Boom 2.0,2019-04-16,article,News,,Interest boomed and prize money skyrocketed after Tiger Woods burst onto the scene. In his absence it stagnated. Now comes another chance.,"Through Tiger Woods’s 11 years in the wilderness between major tournament wins, professional golf searched for a successor.","['Masters Golf Tournament', 'Golf']",https://www.nytimes.com/2019/04/16/sports/tiger-woods-golf.html
December Date for U.S. Women’s Open Brings New Challenges,2020-12-10,article,News,,"Golf’s final major tournament is set to play in Houston with coronavirus-related challenges, an unprecedented two-course format, and one of women’s golf’s largest purses.","HOUSTON — The PGA Tour does not have a 72-hole stroke play event this week, and several weekend college football games, including the marquee matchup between Michigan and Ohio State, have been canceled or postponed because of the coronavirus, leaving the best female golfers in the world well positioned to fill the TV viewing void.","[""United States Women's Open (Golf)"", 'Golf', 'Coronavirus (2019-nCoV)', 'Masters Golf Tournament']",https://www.nytimes.com/2020/12/10/sports/golf/womens-us-open.html
"Masters Preview? Rory McIlroy Wins at Bay Hill, and Tiger Woods Makes a Run",2018-03-19,article,News,,"McIlroy earned his first PGA Tour victory since 2016, and Woods, who stayed in the hunt and tied for fifth, advanced his comeback from spinal surgery.","ORLANDO, Fla. — The Australian Adam Scott was asked last week if Tiger Woods could win the Masters.","['Golf', 'Masters Golf Tournament', 'Arnold Palmer Invitational (Golf)']",https://www.nytimes.com/2018/03/18/sports/golf/rory-mcilroy-tiger-woods.html
Tiger Woods Is Back. Will Sponsors Buy In?,2018-03-31,article,News,,"Despite his troubles and controversies, golf fans seem willing — even eager — to embrace Mr. Woods’s comeback. Will corporate America feel the same?","In the past few weeks, Tiger Woods has made a seemingly improbable comeback on the golf course. But can his image rebound the same way off it?","['Golf', 'Masters Golf Tournament', 'ADVERTISING AND MARKETING']",https://www.nytimes.com/2018/03/31/business/tiger-woods-advertising.html
"Tiger Woods and Phil Mickelson Warm Up Together, and to Each Other",2018-04-04,article,News,,"Until Tuesday at Augusta National, Woods and Mickelson, golf’s great rivals for more than two decades, had never played a practice round before a major together.","AUGUSTA, Ga. — Tiger Woods was on the driving range Tuesday at the Masters after playing nine holes in a foursome that included Phil Mickelson when Rory McIlroy sidled up and made him laugh. McIlroy said he had told Woods, “I never thought I’d see the day: Tiger and Phil playing a practice round at Augusta.”","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2018/04/03/sports/golf/masters-tiger-woods-phil-mickelson.html
"Matt Parziale Is an Amateur at the Masters, but a Pro Fighting Fires",2018-04-04,article,News,,"Parziale’s often exhausting and sometimes dangerous grind paid off in October when he won the U.S. Mid-Amateur Championship, earning him a spot at the Masters.","No offense to professional golfers, but Matt Parziale has a real job.","['Masters Golf Tournament', 'Golf', 'Fires and Firefighters']",https://www.nytimes.com/2018/04/04/sports/golf/firefighter-matt-parziale-masters.html
Masters 2018: Players to Watch,2018-04-04,article,News,,"Some old faces and some new ones, as players prepare for the first major of the season on the PGA Tour.","Though the Masters rarely lacks for intrigue, the weekly parade of top-class winners this spring has brought stars into alignment like few other years. And that’s before you consider the return of a certain once-dominant big cat on the prowl again.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2018/04/04/sports/golf/masters-players-to-watch.html
"At the Masters’ 12th Hole, Shots Are Left Twisting in the Wind",2018-04-04,article,News,,"Golden Bell, as No. 12 at Augusta National Golf Club is also known, has caused more problems for competitors than almost any other hole on the course.","No matter how many majors Jordan Spieth wins during his career, the 12th hole at Augusta National Golf Club will forever be the scene of heartbreak.","['Masters Golf Tournament', 'Golf']",https://www.nytimes.com/2018/04/04/sports/golf/augusta-national-12th-hole.html
Tiger Woods Bulked Up and Broke Down. Now He’s a ‘Walking Miracle’,2018-04-04,article,News,,"Younger players who watched Woods push the limits, and endure years of pain, marvel at his latest comeback and aim for a balance between golf and life.","AUGUSTA, Ga. — Bryson DeChambeau, a rising star on the PGA Tour, never imagined he would withdraw from a tournament just to avoid pain.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2018/04/04/sports/golf/tiger-woods-masters.html
How Jordan Spieth Took Control at the Masters,2018-04-05,article,News,,"Five straight birdies put Spieth in the lead. Tiger Woods, healthy again and playing well, finished an up-and-down round at 1-over par. Here’s what happened.",[Round 2: Follow our live Masters coverage.],"['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2018/04/05/sports/masters-tiger-woods-leaderboard.html
Tiger Woods Is More Dogged Than Dazzling in His Return to the Masters,2018-04-06,article,News,,"Woods, appearing in his first major tournament since 2015, shot a one-over-par 73 that required him to repeatedly dig out of trouble.","AUGUSTA, Ga. — The Masters patrons who flocked to watch Tiger Woods’s first round of a major tournament in 963 days did not see the dominant Woods, the surgeon who once carved up par 5s as if they were Easter hams.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2018/04/05/sports/golf/tiger-woods-masters.html
Tony Finau Steals Masters Spotlight After Dislocating Ankle,2018-04-06,article,News,,"Finau had nearly withdrawn from the tournament after his injury on Wednesday, but he played and was tied for second after a wild first round on Thursday.","AUGUSTA, Ga. — Maybe the tone of the opening day of the 2018 Masters tournament was set when the defending champion, Sergio García, hit five balls into the pond in front of the 15th hole for an eventual eight-over-par 13. It matched the highest score ever recorded on any hole at the Masters, which began in 1934.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2018/04/05/sports/tony-finau-masters.html
How Patrick Reed Dominated the Masters on Day 2,2018-04-06,article,News,,"Reed leads the field after the second round of the Masters. Tiger Woods played well enough to make the cut, but he’s 13 strokes off the lead.","Patrick Reed, who played college golf at Augusta State University, looked in command on a familiar course that caused problems for several other contenders, including Jordan Spieth, who lost his two-stroke advantage after Thursday’s round with a double bogey right on the first hole. Reed, on the other hand, finished with nine birdies to shoot 66, the low round of the day, for a two-shot lead over the Australian Marc Leishman (-7) heading into the weekend.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2018/04/06/sports/masters-leaderboard-tiger-woods.html
Day 2 at the Masters Starts With Mayhem and Ends With Patrick Reed in the Lead,2018-04-07,article,News,,"Reed shot a six-under-par 66 and held a two-stroke lead over Marc Leishman. Lurking behind them were eight major winners, while Tiger Woods barely made the cut.","AUGUSTA, Ga. — The second round of the Masters opened with tumult and sloppy play.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2018/04/06/sports/golf/masters-patrick-reed.html
"At the Masters, Low-Tech Data Still Rules",2018-04-07,article,News,,"At Augusta National, caddies and players receive yardage books that provide rudimentary information compared with what is often available at other tournaments. So they have to fill in the blanks.","AUGUSTA, Ga. — The caddie William Lanier was standing behind Augusta National’s 13th hole on Monday, scribbling in a notebook roughly the size of a king-size candy bar, when he overheard a patron ask her husband, “What’s inside those books?”","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2018/04/07/sports/golf/masters-augusta-national.html
